mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.25226465861002606,0.02608167445164677,0.052310546239217125,0.0028050114627587303,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.2599199999999994,-0.26454051282051344,-0.23556205128205074,-0.25334085470085455,0.012712242732486544,8
0.36005965868632,0.10282324834277226,0.04660407702128092,0.0024589094332002613,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.2570051282051288,-0.26129589743589676,-0.2352235897435894,-0.25117487179487163,0.011414471062576538,2
0.48490150769551593,0.01267120342745746,0.07322287559509277,0.003557655184138742,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.2596930769230786,-0.2628982051282031,-0.2378943589743577,-0.25349521367521316,0.011108801683071651,13
0.13752667109171549,0.012130590481022862,0.04774594306945801,0.0125402614581543,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.25413716897063027,-0.27073799981784563,-0.2353532035884346,-0.25340945745897014,0.014454944346310191,11
0.3039877414703369,0.02763907209018452,0.04874976476033529,0.006670058302645687,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.25189171191201987,-0.2697387453685916,-0.23524552745545066,-0.2522919949120207,0.014084641525693251,3
0.5152910550435384,0.027808468810554196,0.07600927352905273,0.007165278164247684,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.2550301847443863,-0.2700637487156717,-0.23613156874037713,-0.25374183406681167,0.01388267733712894,14
0.16024263699849448,0.026172943212269054,0.04543900489807129,0.007911608113711645,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.26165081173972765,-0.28160126724166723,-0.2423385523126113,-0.26186354376466875,0.01602964206474793,27
0.24036184946695963,0.005944045915178681,0.04426948229471842,0.0019005904306335685,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.26035403947919356,-0.28010149052117145,-0.24178335698246736,-0.26074629566094415,0.01564577127440683,20
0.5275687376658121,0.029947973652966968,0.07588982582092285,0.004623880571891763,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.26263665329554714,-0.27930965100830285,-0.24174759360573192,-0.26123129930319394,0.015366810642016247,22
0.14237093925476074,0.022313902333250528,0.044297377268473305,0.010078169257946887,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.257349683140569,-0.26731359321920856,-0.23528454919827552,-0.2533159418526844,0.013383278542193502,7
0.26349536577860516,0.01813324278934256,0.04902966817220052,0.0019846402210809515,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.2580943742737862,-0.26427676803830075,-0.2354719656070096,-0.2526143693063655,0.012381491606658862,6
